Abu Simbel - A,Wonder Pack
Abu Simbel - B,Wonder Pack
Abudos - A,50 Wonder Set
Abudos - B,50 Wonder Set
Agbatana - A,50 Wonder Set
Agbatana - B,50 Wonder Set
Akko - A,50 Wonder Set
Akko - B,50 Wonder Set
Alabanda - A,50 Wonder Set
Alabanda - B,50 Wonder Set
Alexandria - A,Original
Alexandria - B,Original
Amathous - A,Sailors
Amathous - B,Sailors
Arbela - A,50 Wonder Set
Arbela - B,50 Wonder Set
Argolida - A,50 Wonder Set
Argolida - B,50 Wonder Set
Arkadia - A,50 Wonder Set
Arkadia - B,50 Wonder Set
Atlantis - A,50 Wonder Set
Atlantis - B,50 Wonder Set
Babel - A,50 Wonder Set
Babel - B,50 Wonder Set
Babylon - A,Original
Babylon - B,Original
Bassai - A,50 Wonder Set
Bassai - B,50 Wonder Set
Beiping - A,50 Wonder Set
Beiping - B,50 Wonder Set
Brigadoon - A,50 Wonder Set
Brigadoon - B,50 Wonder Set
Byblos - A,50 Wonder Set
Byblos - B,50 Wonder Set
Byzantium - A,Cities
Byzantium - B,Cities
Catan - A,50 Wonder Set
Catan - B,50 Wonder Set
Chichen Itza - A,50 Wonder Set
Chichen Itza - B,50 Wonder Set
Cloud City - A,50 Wonder Set
Cloud City - B,50 Wonder Set
Corropolis - A,50 Wonder Set
Corropolis - B,50 Wonder Set
Delos - A,50 Wonder Set
Delos - B,50 Wonder Set
Delphoi - A,50 Wonder Set
Delphoi - B,50 Wonder Set
Elioupolis - A,50 Wonder Set
Elioupolis - B,50 Wonder Set
Ephesos - A,Original
Ephesos - B,Original
Epidaurou - A,50 Wonder Set
Epidaurou - B,50 Wonder Set
Euboia - A,50 Wonder Set
Euboia - B,50 Wonder Set
Gaza - A,50 Wonder Set
Gaza - B,50 Wonder Set
Gizah - A,Original
Gizah - B,Original
Gordion - A,50 Wonder Set
Gordion - B,50 Wonder Set
The Great Wall - A,Wonder Pack
The Great Wall - B,Wonder Pack
Halikarnassos - A,Original
Halikarnassos - B,Original
Ios - A,50 Wonder Set
Ios - B,50 Wonder Set
Issos - A,50 Wonder Set
Issos - B,50 Wonder Set
Jedi Temple - A,50 Wonder Set
Jedi Temple - B,50 Wonder Set
Kadesh - A,50 Wonder Set
Kadesh - B,50 Wonder Set
Kalakh - A,50 Wonder Set
Kalakh - B,50 Wonder Set
Kappadokia - A,50 Wonder Set
Kappadokia - B,50 Wonder Set
Karthago - A,50 Wonder Set
Karthago - B,50 Wonder Set
Khattousa - A,50 Wonder Set
Khattousa - B,50 Wonder Set
Knosos - A,50 Wonder Set
Knosos - B,50 Wonder Set
Koptos - A,50 Wonder Set
Koptos - B,50 Wonder Set
Korinthos - A,50 Wonder Set
Korinthos - B,50 Wonder Set
Kurene - A,50 Wonder Set
Kurene - B,50 Wonder Set
Machu Picchu - A,50 Wonder Set
Machu Picchu - B,50 Wonder Set
Manneken Pis - A,Wonder Pack
Manneken Pis - B,Wonder Pack
Mykenai - A,50 Wonder Set
Mykenai - B,50 Wonder Set
Oasis Siba - A,50 Wonder Set
Oasis Siba - B,50 Wonder Set
Olympia - A,Original
Olympia - B,Original
Ostia - A,50 Wonder Set
Ostia - B,50 Wonder Set
Our - A,50 Wonder Set
Our - B,50 Wonder Set
Ourouk - A,Ruins
Ourouk - B,Ruins
Pasargadon - A,50 Wonder Set
Pasargadon - B,50 Wonder Set
Peiraieus - A,50 Wonder Set
Peiraieus - B,50 Wonder Set
Petra - A,Cities
Petra - B,Cities
Phasis - A,50 Wonder Set
Phasis - B,50 Wonder Set
Philippopolis - A,50 Wonder Set
Philippopolis - B,50 Wonder Set
Pompei - A,50 Wonder Set
Pompei - B,50 Wonder Set
Rhodos - A,Original
Rhodos - B,Original
Roma - A,Leaders
Roma - B,Leaders
R’lyeh - A,50 Wonder Set
R’lyeh - B,50 Wonder Set
Salamina - A,50 Wonder Set
Salamina - B,50 Wonder Set
Samarkande - A,50 Wonder Set
Samarkande - B,50 Wonder Set
Samothraki - A,50 Wonder Set
Samothraki - B,50 Wonder Set
Sardis - A,50 Wonder Set
Sardis - B,50 Wonder Set
Sidon - A,Sailors
Sidon - B,Sailors
Sinope - A,Ruins
Sinope - B,Ruins
Stonehenge - A,Wonder Pack
Stonehenge - B,Wonder Pack
Sousa - A,Sailors
Sousa - B,Sailors
Tarsos - A,50 Wonder Set
Tarsos - B,50 Wonder Set
Thapsakos - A,50 Wonder Set
Thapsakos - B,50 Wonder Set
Thebai - A,50 Wonder Set
Thebai - B,50 Wonder Set
Thira - A,50 Wonder Set
Thira - B,50 Wonder Set
Tiryntha - A,50 Wonder Set
Tiryntha - B,50 Wonder Set
Troia - A,50 Wonder Set
Troia - B,50 Wonder Set
Turos - A,Ruins
Turos - B,Ruins
Urusalim - A,50 Wonder Set
Urusalim - B,50 Wonder Set
Yeriho - A,50 Wonder Set
Yeriho - B,50 Wonder Set
Zeugma - A,50 Wonder Set
Zeugma - B,50 Wonder Set
Unknown,Unknown
